actor_1,actor_2,country,date_aired,episodes,genre,network,popularity,ranking,rating,tag,title,users,watchers
Jodi Sta. Maria,Richard Yap,Philippines,"Jan 29, 2018 - Sep 14, 2018",163,"Comedy,  Romance,  Drama",ABS-CBN,99999,99999,8.1,,Sana Dalawa ang Puso,11,35
Mikoy Morales,Mikee Quintos,Philippines,"Jan 21, 2018 - Apr 15, 2018",13,"Animals,  Drama,  Fantasy",,99999,99999,6.0,,Sirkus,1,15
Rhian Ramos,Max Collins,Philippines,"Jan 15, 2018 - May 18, 2018",88,"Comedy,  Romance,  Drama",,99999,99999,8.3,,The One That Got Away,15,57
Julia Montes,Paulo Avelino,Philippines,"Jan 15, 2018 - Oct  5, 2018",182,"Action,  Thriller,  Romance,  Melodrama,  Political",ABS-CBN,99999,99999,7.8,,Asintado,16,55
Joshua Garcia,Mylene Dizon,Philippines,"Sep 25, 2017 - Apr 13, 2018",143,"Suspense,  Mystery,  Romance,  Crime,  Drama,  Family,  Melodrama",ABS-CBN,99999,99999,7.7,"Sibling Rivalry, Mother-Son Relationship, Father-Son Relationship, Death, Sibling Relationship",The Good Son,14,39
Sanya Lopez,Rocco Nacino,Philippines,"Jul 10, 2017 - Feb 23, 2018",165,"Drama,  Supernatural",,99999,99999,8.0,,Angela,2,18
Kathryn Bernardo,Daniel Padilla,Philippines,"Jun 19, 2017 - Mar  2, 2018",185,"Action,  Vampire,  Romance,  Drama,  Fantasy,  Supernatural",ABS-CBN,99999,99999,7.9,Werewolf,La Luna Sangre,72,214
Anne Curtis,Gerald Anderson,Philippines,"Mar 17, 2014 - Jul 18, 2014",87,"Romance,  Drama,  Fantasy",ABS-CBN,99999,99999,7.0,"Mars Ravelo, Fantasy World, Adapted From A Comic, Merman, Mermaid",Mars Ravelo's Dyesebel,15,57
James Reid,Nadine Lustre,Philippines,"Aug 29, 2016 - Jan 20, 2017",105,"Comedy,  Romance,  Drama",ABS-CBN,7084,99999,7.7,"LGBTQ+, Gay Character",Till I Met You,138,389
Nadine Lustre,James Reid,Philippines,"Aug 10, 2015 - Feb 26, 2016",145,"Comedy,  Romance,  Drama,  Family",ABS-CBN,3821,99999,8.4,"Marriage Of Convenience, Immigrant, Love/Hate Relationship, Family Conflict, Secondary Couple, Family Drama, Time Skip, Seaside, Family Relationship, Healing",On the Wings of Love,416,1085
Kong Saharat Sangkapricha,Piyathida Mittiraroch,Thailand,"Feb  4, 2000 - Mar 12, 2000",18,"Comedy,  Romance,  Drama",Channel 3,99999,99999,5.5,Adapted From A Novel,Mee Pieng Ruk,2,7
Alek Teeradetch Metawarayut,Patricia Tanchanok Good,Thailand,"Jun 15, 2019 - Jul 26, 2019",18,"Action,  Romance,  Drama",Channel 3,4167,99999,8.2,"Guardian/Ward, Mafia, Obsession, Childhood Friends, Bisexual Character, Male Lead Saves Female Lead, Multiple Couples, Nice Male Lead, Adapted From A Novel",Nee Ruk Nai Krong Fai,269,954
Kao Jirayu La-ongmanee,Aniporn Chalermburanawong,Thailand,"Apr 24, 2017 - Jul 18, 2017",26,"Romance,  Drama",GMM 25,99999,99999,7.5,Adapted From A Novel,Lakorn Khon,5,75
Kacha Nontanun Anchuleepradit,Mo Monchanok Saengchaipiangpen,Thailand,"Mar 31, 2018 - Apr 28, 2018",5,"Romance,  Drama",GMM 25,99999,99999,4.0,,Love Songs Love Series: Final Day of Friendship,2,163
Kuan Denkhun Ngamnet,Yam Matira Tantiprasut,Thailand,"Dec 27, 2015 - Jan 31, 2016",16,"Action,  Romance,  Drama",Channel 3,99999,99999,7.1,,Dok Mai Tai Mek,5,30
Benz Punyaporn Pongpipat,Sarasook Egkarat,Thailand,"Mar  2, 2006 - Apr 19, 2006",48,"Romance,  Drama,  Family",Channel 7,99999,99999,,Adapted From A Novel,Oak Thoranee,0,11
Johnny Anfone,Joy Rinlanee Sripen,Thailand,"Jan  8, 2001 - Feb 20, 2001",14,"Romance,  Drama",Channel 3,99999,99999,,,Kor Yood Hua Jai Wai Piang Ther,0,11
Num Sornram Theappitak,Joy Rinlanee Sripen,Thailand,2003,25,"Action,  Romance,  Drama",Channel 3,99999,99999,7.5,,Hark Liem Prakarn,1,5
Tye Nattapol Leeyawanich,Poyd Treechada Petcharat,Thailand,"Apr  3, 2017 - Jun 27, 2017",26,"Thriller,  Horror,  Romance,  Drama",Workpoint TV,99999,99999,9.0,Adapted From A Novel,Nang Khaen,2,33
Tony Hung,Roxanne Tong,Hong Kong,"Dec 30, 2019 - Jan 17, 2020",15,"Historical,  Comedy,  Drama",TVB Jade ,99999,99999,6.8,,Handmaidens United,19,66
Krist Perawat Sangpotirat,Mook Worranit Thawornwong,Thailand,"Jul 29, 2018 - Sep 30, 2018",10,"Comedy,  Romance,  Family",GMM 25,2789,99999,7.7,"Spoiled Female Lead, Infidelity, Sibling Relationship, Multiple Couples, First Love, Adapted From A Novel, Rural Village, Hardworking Male Lead",Mint To Be,509,1710
Toni Rakkaen,Ploy Laila Boonyasak,Thailand,"Mar 18, 2018 - Apr  8, 2018",4,"Comedy,  Romance,  Drama",GMM 25,4987,99999,7.4,"Identical Twins, Hidden Identity, Switched Identities, Sibling Relationship, Lying, Identity Swap, Twins, Advertisement, Celebrity, Gay Character",Love Bipolar,245,711
Punpun Sutatta Udomsilp,Toni Rakkaen,Thailand,"Jan 25, 2019 - Apr 26, 2019",13,"Action,  Suspense,  Adventure,  Friendship,  Youth","GMM One, LINE TV, LINE TV, LINE TV",2666,99999,7.9,"Secret Mission, Multi-lingual, Multiple Mains, Father-Son Relationship, Game, Filmed Abroad",Wolf,468,1840
Toey Pongsakorn Mettarikanon,Nychaa Nuttanicha Dungwattanawanich,Thailand,"May 18, 2019 - Jun 14, 2019",12,"Historical,  Romance,  Drama,  Fantasy",Channel 3,6722,99999,7.6,"Time Travel, Revenge, Love Triangle, Past And Present, Reincarnation, Reincarnated Lovers, Infidelity, Adapted From A Novel",Plerng Prang Tian,101,427
Cake Nattavat Kaewbuasai,Nink Saranya Jumpatip,Thailand,"Mar  9, 2019 - Mar 29, 2019",9,"Action,  Romance",Channel 3,99999,99999,,,The Man Series: Pat,0,39
Sun Rungsi Sarnkingthong,Oom Eisaya Hosuwan,Thailand,"Feb 17, 2019 - Mar  8, 2019",8,"Action,  Romance",Channel 3,99999,99999,10.0,,The Man Series: Petch,2,46
Sarin Inpitar Ronnakiat,Pie Rinrada Kaewbuasai,Thailand,"Jan 27, 2019 - Feb 16, 2019",9,"Action,  Romance,  Drama",Channel 3,99999,99999,8.6,,The Man Series: Pupa,10,87
Puen Khanin Chobpradit,Natalie Panalee Varunwongse,Thailand,"Sep 22, 2018 - Oct 20, 2018",13,"Comedy,  Romance,  Drama,  Family",Channel 3,99999,99999,6.0,Adapted From A Novel,Rim Fung Nam,10,109
Toey Pongsakorn Mettarikanon,Namtarn Pichukkana Wongsarattanasin,Thailand,"Sep 25, 2018 - Nov 19, 2018",16,"Romance,  Drama",Channel 3,8014,99999,7.2,"Rich Female Lead, Birth Secret, Rich Woman/Poor Man, Poor Male Lead, Adapted From A Novel",Prakasit Kammathep,19,308
Louis Hesse,Anyarin Terathananpat,Thailand,"Mar 14, 2018 - Apr 25, 2018",13,"Action,  Music,  Comedy,  Romance,  Drama",Channel 7,99999,99999,7.7,Countryside,Chat Lam Chi,8,84
Nat Nattasha Nauljam,Tonon Wongboon,Thailand,"May 17, 2018 - Jun 27, 2018",30,"Action,  Comedy,  Romance,  Drama",Channel 7,99999,99999,,,Pleng Ruk Meu Peun,0,26
Ja Jittapa Jampatom,Alek Teeradetch Metawarayut,Thailand,"Mar 29, 2019 - May 18, 2019",21,"Psychological,  School,  Youth,  Medical",Channel 3,99999,99999,7.9,,Wai Sab Saraek Kad 2,11,152
Son Yuke Songpaisan,Patricia Tanchanok Good,Thailand,"Mar 10, 2018 - Apr  1, 2018",11,"Comedy,  Romance,  Drama",Channel 3,7824,99999,7.5,"Gay Relationship, LGBTQ+, Adapted From A Novel, Gay Character",Ded Peek Nangfah,19,326
Bomb Tanin Manoonsil,Preem Ranida Techasit,Thailand,"Feb  4, 2018 - Mar  9, 2018",14,"Friendship,  Business,  Comedy,  Romance,  Drama,  Fantasy",Channel 3,5976,99999,8.1,"Possessed, Bipolar Female Lead, Poor Female Lead, LGBTQ+, Life Lesson, Nice Male Lead, Celebrity, Rich Man/Poor Woman, Ghost, Gay Character",Chuamong Tong Mon,134,524
Nune Woranuch Bhirombhakdi,Sarasook Egkarat,Thailand,"Jul  3, 2003 - Aug 21, 2003",15,"Horror,  Romance,  Drama",Channel 7,99999,99999,,Ghost,Pret Wat Satat,0,7
Poh Natthawut Skidjai,Kuan Denkhun Ngamnet,Thailand,"Jan 29, 2018 - Mar 20, 2018",16,"Horror,  Romance,  Drama",Channel 3,99999,99999,6.7,,Ngin Pak Pee,7,50
Boy Pakorn Chatborirak,Preem Ranida Techasit,Thailand,"May  8, 2019 - Jun 20, 2019",14,,Channel 3,99999,99999,7.6,"Past And Present, Adapted From A Novel",Plerng Naka,23,126
Natapohn Tameeruks,Ter Chantavit Dhanasevi,Thailand,"Mar 21, 2019 - May  2, 2019",13,"Comedy,  Romance",Channel 3,99999,99999,7.0,"Farm Life, Doctor, Enemies To Lovers, Slow Burn Romance",Ruk Jung Aoey,40,170
Brook Danuporn Punnakan,Emma Worarat Suwannarat,Thailand,"Jun  5, 2002 - Jul 18, 2002",14,"Horror,  Romance,  Drama",Channel 7,99999,99999,,Ghost,Nang Marn,0,2
Pete Thongchua,Kullasatree Siripongpreeda,Thailand,"Oct  4, 2001 - Nov 14, 2001",12,"Action,  Romance,  Drama,  Fantasy",Channel 7,99999,99999,,Real Kisses,Mekong,0,6
Mac Wiranakarn Wattanakun,Grace Patsita Athianantasak,Thailand,"Jan 20, 2018 - Feb 26, 2018",30,"Comedy,  Romance,  Drama",Channel 7,99999,99999,,,Mae Sue Jom Puan,0,47
Prapye Ramida Theerapat,Term Sawetetachai Naksuk,Thailand,"Jan 14, 2018 - Feb 24, 2018",12,"Comedy,  Romance",Channel 7,99999,99999,5.0,,Ruk Kan Man Jaew,1,58
Green Ausadaporn Siriwattanakul,Anyarin Terathananpat,Thailand,"Jan 24, 2019 - Mar 14, 2019",15,"Historical,  Horror,  Romance,  Drama",Channel 7,99999,99999,5.7,"Vengeful Spirit, Revenge",Buang Sabai,7,62
Baifern Pimchanok Luevisadpaibul,Tao Sattaphong Phiangphor,Thailand,"Sep  2, 2018 - Dec  9, 2018",15,"Comedy,  Romance",Channel 3,6765,99999,4.8,,Beauty Boy: The Series,12,423
Tongtong Kitsakorn Kanogtorn,Saksit Tangthong,Thailand,"Jan 14, 2018 - May 27, 2018",19,"Friendship,  Comedy,  Life,  Family,  Sitcom",GMM One,99999,99999,7.8,,Bang Rak Soi 9/1: Season 2,30,145
Noona Nuengtida Sophon,Panjan Kawin Imanothai,Thailand,"Jan 11, 2018 - Sep 27, 2018",37,"Comedy,  Romance,  Family,  Sitcom",GMM One,99999,99999,8.0,,Ban Saran Land: Rak Lon Lon Khon Tem Ban,1,23
Bee Namthip Jongrachatawiboon,Ak Akarat Nimitchai,Thailand,"Jan 10, 2018 - Sep 26, 2018",38,"Comedy,  Romance,  Family,  Sitcom",GMM One,99999,99999,7.5,,Ban Saran Land: Chanee Nee Khan,2,25
R Arnuttaphol Sirichomsaeng,Tao Sattaphong Phiangphor,Thailand,"Jan  9, 2018 - Dec 23, 2018",50,"Comedy,  Family,  Sitcom",GMM One,99999,99999,8.3,,Ban Saran Land: Suparburoot Sut Soi,6,75
Pong Nawat Kulrattanarak,Nune Woranuch Bhirombhakdi,Thailand,"Jan  8, 2018 - Sep 24, 2018",36,"Comedy,  Romance,  Family,  Sitcom",GMM One,99999,99999,7.4,,Ban Saran Land:  Seuk Rak Kam Rua,4,55
Poh Natthawut Skidjai,Katreeya English,Thailand,"Oct  4, 2002 - Nov  3, 2002",15,"Comedy,  Romance,  Drama,  Fantasy",Channel 7,99999,99999,7.3,Adapted From A Novel,Sao Noi Tha Kieng Kaew,4,12
Bobby Au Yeung,Kenix Kwok,Hong Kong,"Sep 13, 2004 - Oct 22, 2004",30,"Comedy,  Life,  School,  Drama,  Family",TVB Jade ,99999,99999,7.1,,Shine On You,23,50
Kitkong Khamkrith,Hana Lewis,Thailand,"Jun 28, 2018 - Aug 16, 2018",15,"Action,  Romance",Channel 7,99999,99999,7.2,,Saming Jao Tha,5,151
BigM Krittarit Butprom,Green Ausadaporn Siriwattanakul,Thailand,"Jun  3, 2018 - Jul  7, 2018",15,"Mystery,  Romance,  Drama",Channel 7,99999,99999,7.7,,Petch Roy Ruk,17,158
Toon Pimpawee Kograbin,Jinna Navarat,Thailand,"Dec  8, 2017 - Jan  7, 2018",15,"Action,  Romance,  Drama",Channel 7,99999,99999,8.0,,Mahahin,1,40
Donut Phattharapon Dejpongwaranon,Pimprapa Tangprabhaporn,Thailand,"Oct 11, 2018 - Nov 29, 2018",15,"Comedy,  Romance,  Drama,  Fantasy",Channel 7,99999,99999,7.3,Adapted From A Novel,Por Mod Jao Sanae,5,57
Preaw Tussaneeya Karnsomnut,Bank Artit Tangwiboonpanit,Thailand,"Aug 22, 2018 - Oct 10, 2018",15,"Romance,  Melodrama",Channel 7,99999,99999,7.3,"Revenge, Infidelity, Adapted From A Novel",Rabum Marn,11,236
Sam Yuranunt Pamornmontri,Nune Woranuch Bhirombhakdi,Thailand,"May  6, 2002 - Jun 10, 2002",11,"Romance,  Drama",Channel 7,99999,99999,3.5,,Jom Jone Kon Pa Lok,2,5
Sam Yuranunt Pamornmontri,Ann Siriam Pakdeedumrongrit,Thailand,"Sep  5, 2001 - Oct 18, 2001",13,"Romance,  Drama",Channel 5,99999,99999,,"Arrogant Male Lead, Slap And Kiss, Strong Female Lead, Rich Male Lead, Adapted From A Novel, Suicide",Fai Nam Kang,0,8
Sam Yuranunt Pamornmontri,Mam Kathaleeya McIntosh,Thailand,"Apr 30, 2008 - Jun  5, 2008",22,"Romance,  Drama,  Family",Channel 5,99999,99999,7.5,,Trab Sin Dind Fah,1,5
Tik Jesadaporn Pholdee,Krit Shahkrit Yamnam,Thailand,"Mar 17, 2018 - May 26, 2018",20,"Action,  Comedy,  Romance,  Drama,  Fantasy",Workpoint TV,99999,99999,9.1,,Koo See Pee Meu Bprab,3,47
Num Sornram Theappitak,Tui Thiraphat Sajakul,Thailand,"Dec  5, 2017 - Feb 19, 2018",20,Historical,True4U,99999,99999,6.2,,Sri Ayodhaya,6,52
Smart Krissada Pornweroj,Chalita Suansane,Thailand,"Sep 24, 2018 - Nov 12, 2018",34,"Suspense,  Historical,  Horror,  Romance,  Drama,  Fantasy",Channel 8,99999,99999,10.0,,Sarb Krasue,1,60
Nike Nitidon Pomsuwan,Kaew Jarinya Sirimongkolsakul,Thailand,"Jul 14, 2018 - Oct  5, 2018",33,"Comedy,  Romance,  Drama",Channel 8,99999,99999,6.0,,Rak Chan Sawan Jat Hai,3,29
Toomtam Yuttana Puangklang,Sandy Chalida Klampan,Thailand,"Mar 28, 2019 - May  3, 2019",25,"Romance,  Drama,  Family",Channel 8,99999,99999,1.0,,Bussaba Puen Foon,1,58
Film Rattapoom Toekongsap,Jean Gaewalin Sriwanna,Thailand,"Feb 10, 2018 - Apr 22, 2018",22,"Comedy,  Romance",Channel 8,8523,99999,6.9,"Attempted Sexual Assault, Player Male Lead, Opposites Attract, Infidelity, Multiple Couples",Por Pla Lai,66,276
Film Rattapoom Toekongsap,Weluree Ditsayabut,Thailand,"Feb 12, 2019 - Mar 27, 2019",32,"Comedy,  Romance,  Fantasy,  Supernatural",Channel 8,99999,99999,7.2,"Spirit, Black Magic, Superhuman Strength, Demon, Interspecies Romance, Reincarnation, Adapted From A Novel, Ghost",Majurat Holiday,30,193
Roger Kwok,Kenneth Ma,Hong Kong,"Jun 10, 2019 - Jul 12, 2019",25,"Life,  Drama,  Medical,  Political",TVB Jade ,7154,99999,8.1,"Doctor, Hospital",Big White Duel,171,384
Shaun Tam,Nancy Wu,Hong Kong,"Jul 22, 2019 - Aug 30, 2019",30,"Historical,  Drama",,99999,99999,6.5,,Justice Bao: The First Year,40,117
Om Akkaphan Namart,Grace Karnklao Duaysienklao,Thailand,"May  9, 2019 - Jun 27, 2019",15,"Romance,  Life,  Drama",Channel 7,99999,99999,5.0,"Uncle-Nephew Relationship, Aunt-Niece Relationship, Older Man/Younger Woman, Infidelity, Teen Pregnancy, Adapted From A Novel",Reun Manut,7,117
Ali Lee,Chris Lai,Hong Kong,"Jul  9, 2018 - Aug  3, 2018",20,Family,TVB Jade ,99999,99999,7.7,"Childbirth, Pregnancy",Who Wants a Baby?,56,153
Edwin Siu,Rosina Lin,Hong Kong,"Jul 15, 2019 - Aug 16, 2019",25,"Suspense,  Adventure,  Supernatural,  Detective,  Investigation",TVB Jade ,99999,99999,8.0,"Urban Legend, Researcher, Folklore, Reporter, Death, Strong Female Lead, Murder",Our Unwinding Ethos,79,189
New Wongsakorn Paramatthakorn,Toon Pimpawee Kograbin,Thailand,"Jan 17, 2018 - Mar  8, 2018",16,"Action,  Romance",Channel 7,99999,99999,8.0,,Meu Prab Yeow Dam,1,74
Poh Natthawut Skidjai,Nune Woranuch Bhirombhakdi,Thailand,"Jul 26, 2003 - Aug 17, 2003",11,"Action,  Comedy,  Romance,  Drama",Channel 7,99999,99999,,Adapted From A Novel,Mur Puen Por Luk Tit,0,6
Bandit Saokaew,Piyathida Mittiraroch,Thailand,"Nov 26, 2000 - Dec 31, 2000",16,"Comedy,  Romance,  Drama",Channel 3,99999,99999,7.5,"Forced Kiss, Possessive Male Lead, Hate To Love Relationship, Jealousy, Marriage Of Convenience, Slap And Kiss, Orphan, Tomboy, Love/Hate Relationship, Arranged Marriage",Roy Marn,12,47
Apa Bhavilai,Boss Chanakan Poonsiriwong,Thailand,"Dec 20, 2017 - Jan 19, 2018",30,"Action,  Comedy,  Romance,  Drama",Channel 7,99999,99999,8.2,"Policewoman, Intelligent Child, Police Officer, Adapted From A Novel",Sarawat Mae Luk On,4,31
Es Kantapong Bumrungrak,Preaw Tussaneeya Karnsomnut,Thailand,"Jan 13, 2019 - Feb 17, 2019",15,"Action,  Romance,  Crime,  Investigation",Channel 7,99999,99999,9.0,"Police Officer, Married Couple, Adapted From A Novel",Sarawat Yai,4,100
Manao Sornsin Maneewan,Eak Rungsiroj Phanpeng,Thailand,"Nov  3, 2017 - Dec  3, 2017",15,"Action,  Romance,  Drama",Channel 7,99999,99999,,,Tulip Thong,0,8
Michael Pattaradet Sa-nguankwamdee,Peak Pattarasaya Kreursuwansiri,Thailand,"Oct 28, 2018 - Dec  1, 2018",15,"Comedy,  Romance,  Drama",Channel 7,5754,99999,7.8,"Boss/Employee Relationship, Liar Male Lead, Secret, Airhead Female Lead, Multiple Couples, Rich Man/Poor Woman, Adapted From A Novel",Leh Ruk Bussaba,182,562
Sammy Cowell,Kelly Rattapong Tanapat,Thailand,"Feb 17, 2018 - Mar 23, 2018",15,"Historical,  Romance,  Drama",Channel 7,99999,99999,6.2,"Rape, Kidnapping, Adapted From A Novel",Wihok Lhong Lom,10,91
Sammy Cowell,Ann Siriam Pakdeedumrongrit,Thailand,"Mar 19, 2018 - Apr 24, 2018",12,"Romance,  Drama,  Family",Channel 7,99999,99999,7.9,"Older Man/Younger Woman, Married Couple, Age Gap",Sanaeha Maya,5,107
Now Tisanart Sornsuek,Kitkong Khamkrith,Thailand,"Jan 15, 2019 - Mar  5, 2019",15,"Romance,  Drama,  Melodrama",Channel 7,5645,99999,7.1,"Manipulative Character, Entertainment Industry, Weak Female Lead, Naive Female Lead, Love At First Sight, Nice Male Lead, Celebrity, Noble Sacrifice, Violence Against Women, Drugged",Nang Rai,173,582
Bank Artit Tangwiboonpanit,Mook Mookda Narinrak,Thailand,"Apr 30, 2018 - Jun 12, 2018",14,"Comedy,  Romance,  Drama",Channel 7,3248,99999,7.7,"Love/Hate Relationship, Spoiled Male Lead, Strong Female Lead, Sassy Female Lead, Cohabitation, Rich Man/Poor Woman, Nice Stepmother, Birth Secret, Slap And Kiss, Step Family",Panthakan Rak,480,1368
Thanwa Suriyajak,Pupe Kessarin Noiphueng,Thailand,"Nov 26, 2018 - Jan 14, 2019",15,"Comedy,  Romance,  Drama,  Fantasy",Channel 7,99999,99999,7.4,"Real Kisses, Adapted From A Novel",Khun Noo Ruen Lek,43,244
Bernice Liu,Angela Yuen,Hong Kong,2016,30,Romance,ViuTV,99999,99999,8.0,"City, Life",Margaret and David - Ex,1,9
Pete Thongchua,Mam Kathaleeya McIntosh,Thailand,"Feb 23, 2000 - Apr 20, 2000",18,"Action,  Comedy,  Romance",Channel 3,99999,99999,6.8,"Fake Marriage, Rape",Kao Waan Hai Noo Pen Sai Lub,4,25
Cheer Thikumporn Rittapinun,Fluke Kan Kantathavorn,Thailand,"Jan  6, 2018 - Mar 11, 2018",20,"Comedy,  Romance",Workpoint TV,99999,99999,6.9,,Sao Noy Roy Mor,5,70
Wawwa Nichari Chokprajakchat,Puen Khanin Chobpradit,Thailand,"Jan  5, 2018 - Feb  3, 2018",14,"Action,  Romance,  Drama",Channel 3,99999,99999,6.3,Mafia,Kai Mook Mungkorn Fire,3,72
Bow Maylada Susri,New Wongsakorn Paramatthakorn,Thailand,"Mar 24, 2018 - Apr 27, 2018",15,,Channel 7,8027,99999,7.8,"Older Man/Younger Woman, Tomboy, Age Gap, Adapted From A Novel",Sa Kao Duen,125,308
Donut Phattharapon Dejpongwaranon,Bow Maylada Susri,Thailand,"Jan 12, 2018 - Feb 16, 2018",16,"Comedy,  Romance",Channel 7,99999,99999,7.3,,Khun Chai Kai Tong,9,90
Pip Ravit Terdwong,Ja Jittapa Jampatom,Thailand,"Jun 16, 2007 - Jul 21, 2007",16,"Romance,  Drama",Channel 3,99999,99999,,,Sood Tae Fah Gumnode,0,4
Patiparn Pataweekarn,Pang Ornjira Larmwilai,Thailand,"Jan 10, 2018 - Mar  6, 2018",32,"Historical,  Romance,  Drama,  Supernatural",GMM One,99999,99999,6.5,Polygamy,Ruen Benjapit,4,47
Art Pasut Banyam,Thongleng Nonthawan,Thailand,"Jan  4, 2018 - Feb 14, 2018",29,"Comedy,  Romance,  Drama",Channel 3,7199,99999,6.8,"Gay Relationship, LGBTQ+, Pretend Relationship, Rich Man/Poor Woman, Gay Character",Sapai Ka Fak,25,380
Willie Ruengrit  McIntosh,Benz Pornchita Na Songkhla,Thailand,"Sep 16, 2005 - Oct 21, 2005",15,"Comedy,  Romance,  Drama",Channel 3,99999,99999,7.0,"Pretend Relationship, Rich Man/Poor Woman",Sapai Ka Fak,2,17
Marsha Wattanapanich,Willie Ruengrit  McIntosh,Thailand,"Jul 11, 2005 - Aug 23, 2005",14,"Comedy,  Romance",Channel 3,99999,99999,7.0,,Jay Dun Chun Ruk Tur,1,3
Praiya Soandokmai,Pae Arak Amornsupasiri,Thailand,"Jul  2, 2018 - Aug  9, 2018",24,"Horror,  Romance,  Drama,  Supernatural",GMM One,99999,99999,6.7,"Adapted From A Novel, Ghost",Bangkok Naruemit,26,127
Nuttapon Cholvibool,Bancha Boomsomsuk,Thailand,"Dec  9, 2017 - Sep  8, 2018",20,"Comedy,  Drama,  Mature",,3401,99999,7.0,"Miniseries, Sexual Content, Web Series, Multiple Couples, Gay Character, Steamy Kiss, LGBTQ+",Bangkok G Story,504,1274
Andrew Gregson,Benz Pornchita Na Songkhla,Thailand,"Oct 10, 2004 - Nov 13, 2004",15,"Comedy,  Romance",Channel 3,99999,99999,,,Keui Ma Lee Gun,0,4
Weir Sukollawat Kanarot,Bow Maylada Susri,Thailand,"Feb 22, 2019 - Mar 30, 2019",17,"Adventure,  Mystery,  Comedy,  Romance,  Drama,  Fantasy",Channel 7,8295,99999,7.5,"Cross-Dressing, Nice Male Lead, Minorities, Orphan Female Lead, Curse, Strong Female Lead",Pachara Montra,98,289
Chingching Kharittha Sungsaopath,Khawtu Ponpaj,Thailand,"Jul  1, 2017 - Feb 11, 2018",50,"Action,  Comedy,  Romance,  Drama,  Fantasy",Channel 7,99999,99999,8.9,Boran,Thep Sam Ruedu,6,18
Yaya Urassaya Sperbund,James Ma,Thailand,"Jun 10, 2019 - Jul 29, 2019",15,"Historical,  Romance,  Drama,  Supernatural",Channel 3,5590,99999,7.5,"Reincarnated Lovers, Past And Present, Sibling Rivalry, Twins, Reincarnation, Adapted From A Novel, Ghost, Suspense",Klin Kasalong,117,592
Son Yuke Songpaisan,Bee Namthip Jongrachatawiboon,Thailand,"Jan 31, 2018 - Mar  7, 2018",6,"Romance,  Drama",GMM One,99999,99999,7.4,,Muang Maya Live The Series: Maya Ren Ruk,5,45
Mam Kathaleeya McIntosh,Saksit Tangthong,Thailand,"Aug 13, 2018 - Sep 18, 2018",22,"Historical,  Romance,  Drama",GMM One,99999,99999,7.3,,Wimarn Jor Ngern,3,77
Thanwa Suriyajak,Sammy Cowell,Thailand,"Mar 11, 2019 - Apr 30, 2019",16,"Romance,  Drama",Channel 7,7240,99999,7.5,"Passive Female Lead, Delusional Disorder, Obssesed Male Lead, Attempted Sexual Assault, Stalking, Fake Kisses, Hospital, Infidelity, Slap And Kiss, Lying",Lhong Ngao Jun,102,376
Mint Chalida Vijitvongthong,Mai Warit Sirisantana,Thailand,"Jan  4, 2019 - Jan 26, 2019",11,"Action,  Comedy,  Romance,  Crime",Channel 3,7730,99999,7.5,"Criminal Organisation, Famous Female Lead, Gun Violence, Death Of Lover, Famous Actress, Male Lead Saves Female Lead, Flashback To Past, Attempted Murder, Famous Lead/Common Lead, Actress",Nuay Lub Salub Love,65,332
Mario Maurer,Kimberley Anne Woltemas,Thailand,"Jan 31, 2019 - Mar 20, 2019",14,"Historical,  Comedy,  Romance,  Medical",Channel 3,4154,99999,8.1,"Historical Fiction, Secondary Couple, Pharmacist, Sassy Female Lead, Smart Male Lead, Death, Black Magic, Rich Woman/Poor Man, Misunderstanding, Strong Female Lead",Thong Ake Mor Yah Tah Chaloang,279,956
Bie Sukrit Wisetkaew,Esther Supreeleela,Thailand,"Oct 24, 2018 - Dec 10, 2018",27,"Romance,  Drama,  Medical",GMM One,5468,99999,7.4,"Spoiled Male Lead, Nurse, Strong Female Lead, Rich Man/Poor Woman, Adapted From A Novel",Prom Mai Dai Likit,126,614
Tui Thiraphat Sajakul,Mam Kathaleeya McIntosh,Thailand,"Jan  3, 2018 - Jan 24, 2018",4,Drama,GMM One,99999,99999,6.7,"Frenemy, Revenge",Muang Maya Live The Series: Ban Lang Maya,2,20
Peck Ratthapoom Khainark,Nack Charlie Trairat,Thailand,"Nov 20, 2015 - Feb 25, 2016",28,"Friendship,  Comedy,  Romance,  Drama",Channel 8,99999,99999,7.0,Beauty Pageant,Mong Kut Ritsaya,12,57
Preaw Tussaneeya Karnsomnut,Vee Veraparb Suparbpaiboon,Thailand,"Jun 10, 2013 - Aug  6, 2013",18,"Suspense,  Mystery,  Romance,  Drama",Channel 7,99999,99999,6.8,,Dome Tong,7,23
Sean Jindachot,Nut Devahastin,Thailand,"Nov 19, 2017 - Feb 18, 2018",13,"Comedy,  Romance",GMM One,99999,99999,6.3,"Multiple Mains, Multiple Couples, Love Triangle",Sot Stories 2,11,79
Ploy Laila Boonyasak,Oil Thana Suttikamol,Thailand,"Nov 27, 2017 - Feb 20, 2018",26,"Romance,  Drama,  Tragedy",GMM 25,99999,99999,7.5,Rape,Kwarm Ruk Krang Sudtai,4,100
Preaw Tussaneeya Karnsomnut,Cee Siwat Chotchaicharin,Thailand,"Nov 23, 2017 - Jan 11, 2018",15,"Historical,  Mystery,  Romance,  Drama,  Supernatural",Channel 7,99999,99999,6.7,"Vengeful Spirit, Revenge, Adapted From A Novel, Ghost",Wang Nang Hong,23,115
